,city,date,precipitation,precipitation_type,severe_risk
506,Houston,6/16/23,0,,100
507,Houston,6/17/23,0,,100
508,Houston,6/18/23,0,,100
509,Houston,6/19/23,0,,100
510,Houston,6/20/23,0,,100
511,Houston,6/21/23,0.186,['rain'],100
512,Houston,6/22/23,0.004,['rain'],100
513,Houston,6/23/23,0.257,['rain'],100
514,Houston,6/24/23,0,,75
515,Houston,6/25/23,0,,75
516,Houston,6/26/23,0,,60
517,Houston,6/27/23,0,,60
518,Houston,6/28/23,0,,75
519,Houston,6/29/23,0,,60
520,Houston,6/30/23,0,,60
521,Houston,7/1/23,0,,60
522,Houston,7/2/23,0.056,['rain'],75
523,Houston,7/3/23,0,,75
524,Houston,7/4/23,0.15,['rain'],75
525,Houston,7/5/23,0.026,['rain'],75
526,Houston,7/6/23,0.37,['rain'],60
527,Houston,7/7/23,0.15,['rain'],30
528,Houston,7/8/23,0.135,['rain'],60
529,Houston,7/9/23,0,,75
530,Houston,7/10/23,0,,75
531,Houston,7/11/23,0,,75
532,Houston,7/12/23,0,,75
533,Houston,7/13/23,0,,75
534,Houston,7/14/23,0,,75
535,Houston,7/15/23,0,,75
536,Houston,7/16/23,0,,75
537,Houston,7/17/23,0,,75
538,Houston,7/18/23,0,,100
539,Houston,7/19/23,0,,75
540,Houston,7/20/23,0,,60
541,Houston,7/21/23,0,,75
542,Houston,7/22/23,0,,75
543,Houston,7/23/23,0.001,['rain'],60
544,Houston,7/24/23,0,,60
545,Houston,7/25/23,0.13,['rain'],75
546,Houston,7/26/23,0,,75
547,Houston,7/27/23,0,,60
548,Houston,7/28/23,0.026,['rain'],30
549,Houston,7/29/23,0,,60
550,Houston,7/30/23,0,,60
551,Houston,7/31/23,0,,60
552,Kansas City,5/1/23,0,,10
553,Kansas City,5/2/23,0,,10
554,Kansas City,5/3/23,0,,10
555,Kansas City,5/4/23,0,,10
556,Kansas City,5/5/23,0,,10
557,Kansas City,5/6/23,0,,75
558,Kansas City,5/7/23,0,,100
559,Kansas City,5/8/23,0.001,['rain'],75
560,Kansas City,5/9/23,0,,10
561,Kansas City,5/10/23,0,,30
562,Kansas City,5/11/23,0.269,['rain'],10
563,Kansas City,5/12/23,0,,75
564,Kansas City,5/13/23,0.039,['rain'],60
565,Kansas City,5/14/23,0.03,['rain'],30
566,Kansas City,5/15/23,0.292,['rain'],10
567,Kansas City,5/16/23,0.032,['rain'],10
568,Kansas City,5/17/23,0,,10
569,Kansas City,5/18/23,0,,10
570,Kansas City,5/19/23,0.314,['rain'],10
571,Kansas City,5/20/23,0,,10
572,Kansas City,5/21/23,0,,10
573,Kansas City,5/22/23,0,,10
574,Kansas City,5/23/23,0,,10
575,Kansas City,5/24/23,0,,30
576,Kansas City,5/25/23,0.003,['rain'],10
577,Kansas City,5/26/23,0,,10
578,Kansas City,5/27/23,0,,10
579,Kansas City,5/28/23,0,,10
580,Kansas City,5/29/23,0,,10
581,Kansas City,5/30/23,0.133,['rain'],30
582,Kansas City,5/31/23,1.16,['rain'],60
583,Kansas City,6/1/23,0,,30
584,Kansas City,6/2/23,0.001,['rain'],30
585,Kansas City,6/3/23,0,,30
586,Kansas City,6/4/23,0,,30
587,Kansas City,6/5/23,0,,30
588,Kansas City,6/6/23,0,,30
589,Kansas City,6/7/23,0,,30
590,Kansas City,6/8/23,0,,10
591,Kansas City,6/9/23,0,,10
592,Kansas City,6/10/23,0.036,['rain'],10
593,Kansas City,6/11/23,0.445,['rain'],10
594,Kansas City,6/12/23,0,,10
595,Kansas City,6/13/23,0,,10
596,Kansas City,6/14/23,0,,10
597,Kansas City,6/15/23,0,,10
598,Kansas City,6/16/23,0,,10
599,Kansas City,6/17/23,0,,60
600,Kansas City,6/18/23,0.473,['rain'],30
601,Kansas City,6/19/23,0,,10
602,Kansas City,6/20/23,0,,10
603,Kansas City,6/21/23,0,,10
604,Kansas City,6/22/23,0,,10
605,Kansas City,6/23/23,0,,10
606,Kansas City,6/24/23,0,,60
607,Kansas City,6/25/23,0,,30
608,Kansas City,6/26/23,0,,10
609,Kansas City,6/27/23,0,,10
610,Kansas City,6/28/23,0,,100
611,Kansas City,6/29/23,0,,75
612,Kansas City,6/30/23,0.001,['rain'],75
613,Kansas City,7/1/23,0.087,['rain'],30
614,Kansas City,7/2/23,0,,10
615,Kansas City,7/3/23,0,,10
616,Kansas City,7/4/23,0,,30
617,Kansas City,7/5/23,0.895,['rain'],30
618,Kansas City,7/6/23,0,,10
619,Kansas City,7/7/23,0,,30
620,Kansas City,7/8/23,0.005,['rain'],10
621,Kansas City,7/9/23,0,,10
622,Kansas City,7/10/23,0,,10
623,Kansas City,7/11/23,0,,30
624,Kansas City,7/12/23,0,,75
625,Kansas City,7/13/23,0,,30
626,Kansas City,7/14/23,1.863,['rain'],60
627,Kansas City,7/15/23,0,,30
628,Kansas City,7/16/23,0.701,['rain'],75
629,Kansas City,7/17/23,0,,75
630,Kansas City,7/18/23,0.208,['rain'],30
631,Kansas City,7/19/23,0,,100
632,Kansas City,7/20/23,0.012,['rain'],60
633,Kansas City,7/21/23,0,,10
634,Kansas City,7/22/23,0,,30
635,Kansas City,7/23/23,0,,60
636,Kansas City,7/24/23,0.468,['rain'],75
637,Kansas City,7/25/23,0,,60
638,Kansas City,7/26/23,0.02,['rain'],75
639,Kansas City,7/27/23,0,,75
640,Kansas City,7/28/23,0,,60
641,Kansas City,7/29/23,0.06,['rain'],30
642,Kansas City,7/30/23,1.056,['rain'],30
643,Kansas City,7/31/23,0.437,['rain'],30
644,Minneapolis,5/1/23,0,,10
645,Minneapolis,5/2/23,0,,10
646,Minneapolis,5/3/23,0,,10
647,Minneapolis,5/4/23,0,,10
648,Minneapolis,5/5/23,0.164,['rain'],10
649,Minneapolis,5/6/23,0.298,['rain'],10
650,Minneapolis,5/7/23,0,,10
651,Minneapolis,5/8/23,0,,30
652,Minneapolis,5/9/23,0,,10
653,Minneapolis,5/10/23,0.005,['rain'],10
654,Minneapolis,5/11/23,0.022,['rain'],10
655,Minneapolis,5/12/23,0.025,['rain'],10
656,Minneapolis,5/13/23,0.254,['rain'],10
657,Minneapolis,5/14/23,0.448,['rain'],10
658,Minneapolis,5/15/23,0,,10
659,Minneapolis,5/16/23,0,,10
660,Minneapolis,5/17/23,0,,10
661,Minneapolis,5/18/23,0.128,['rain'],10
662,Minneapolis,5/19/23,0,,10
663,Minneapolis,5/20/23,0,,10
664,Minneapolis,5/21/23,0,,10
665,Minneapolis,5/22/23,0,,10
666,Minneapolis,5/23/23,0,,10
667,Minneapolis,5/24/23,0,,10
668,Minneapolis,5/25/23,0,,10
669,Minneapolis,5/26/23,0,,10
670,Minneapolis,5/27/23,0,,10
671,Minneapolis,5/28/23,0,,10
672,Minneapolis,5/29/23,0,,10
673,Minneapolis,5/30/23,0.094,['rain'],30
674,Minneapolis,5/31/23,0,,30
675,Minneapolis,6/1/23,0.058,['rain'],30
